Height(Centimeter),Weight(Kilograms),Gender,BMI,Skin Color,Clothes Color,Pants Color
180.93,62.55,Male,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 39, ""g"": 19, ""b"": 222}","{""r"": 59, ""g"": 218, ""b"": 139}"
170.51,56.27,Female,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 119, ""g"": 137, ""b"": 17}","{""r"": 87, ""g"": 104, ""b"": 75}"
172.3,64.08,Male,Ideal,"{""r"": 235, ""g"": 185, ""b"": 152}","{""r"": 209, ""g"": 235, ""b"": 144}","{""r"": 126, ""g"": 155, ""b"": 164}"
174.95,65.11,Male,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 85, ""g"": 125, ""b"": 18}","{""r"": 132, ""g"": 246, ""b"": 173}"
161.24,44.41,Female,Underweight,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 9, ""g"": 244, ""b"": 205}","{""r"": 167, ""g"": 124, ""b"": 129}"
173.79,58.74,Male,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 124, ""g"": 198, ""b"": 182}","{""r"": 125, ""g"": 136, ""b"": 163}"
171.78,64.34,Male,Ideal,"{""r"": 235, ""g"": 185, ""b"": 152}","{""r"": 124, ""g"": 196, ""b"": 39}","{""r"": 32, ""g"": 53, ""b"": 149}"
170.71,58.84,Male,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 172, ""g"": 107, ""b"": 73}","{""r"": 183, ""g"": 170, ""b"": 94}"
179.94,64.6,Male,Ideal,"{""r"": 235, ""g"": 185, ""b"": 152}","{""r"": 104, ""g"": 160, ""b"": 227}","{""r"": 119, ""g"": 114, ""b"": 69}"
171.44,59.67,Male,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 140, ""g"": 62, ""b"": 18}","{""r"": 113, ""g"": 236, ""b"": 164}"
169.0,49.14,Female,Underweight,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 161, ""g"": 239, ""b"": 5}","{""r"": 119, ""g"": 29, ""b"": 89}"
166.22,51.66,Female,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 250, ""g"": 40, ""b"": 170}","{""r"": 39, ""g"": 133, ""b"": 179}"
176.59,46.86,Female,Underweight,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 184, ""g"": 158, ""b"": 197}","{""r"": 150, ""g"": 118, ""b"": 68}"
167.17,54.77,Female,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 78, ""g"": 27, ""b"": 190}","{""r"": 111, ""g"": 25, ""b"": 11}"
172.25,57.06,Female,Ideal,"{""r"": 253, ""g"": 220, ""b"": 213}","{""r"": 94, ""g"": 125, ""b"": 147}","{""r"": 10, ""g"": 72, ""b"": 71}"
179.31,61.79,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 182, ""g"": 32, ""b"": 143}","{""r"": 239, ""g"": 47, ""b"": 2}"
182.38,63.55,Male,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 97, ""g"": 174, ""b"": 241}","{""r"": 168, ""g"": 2, ""b"": 167}"
175.78,58.4,Male,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 234, ""g"": 197, ""b"": 22}","{""r"": 173, ""g"": 105, ""b"": 167}"
169.68,64.32,Male,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 141, ""g"": 74, ""b"": 222}","{""r"": 79, ""g"": 118, ""b"": 25}"
171.85,54.99,Female,Ideal,"{""r"": 253, ""g"": 220, ""b"": 213}","{""r"": 22, ""g"": 90, ""b"": 251}","{""r"": 254, ""g"": 161, ""b"": 90}"
172.23,59.58,Male,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 175, ""g"": 185, ""b"": 165}","{""r"": 15, ""g"": 15, ""b"": 112}"
162.68,48.4,Female,Underweight,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 170, ""g"": 23, ""b"": 73}","{""r"": 23, ""g"": 20, ""b"": 18}"
174.18,56.41,Female,Ideal,"{""r"": 235, ""g"": 185, ""b"": 152}","{""r"": 115, ""g"": 235, ""b"": 177}","{""r"": 9, ""g"": 50, ""b"": 157}"
165.57,56.64,Female,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 82, ""g"": 136, ""b"": 117}","{""r"": 190, ""g"": 115, ""b"": 55}"
176.93,63.35,Male,Ideal,"{""r"": 253, ""g"": 220, ""b"": 213}","{""r"": 59, ""g"": 112, ""b"": 63}","{""r"": 56, ""g"": 188, ""b"": 103}"
172.64,62.31,Male,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 157, ""g"": 150, ""b"": 25}","{""r"": 133, ""g"": 28, ""b"": 141}"
167.59,48.28,Female,Underweight,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 105, ""g"": 157, ""b"": 225}","{""r"": 199, ""g"": 224, ""b"": 95}"
174.43,58.41,Male,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 105, ""g"": 183, ""b"": 232}","{""r"": 153, ""g"": 78, ""b"": 157}"
169.88,66.08,Male,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 84, ""g"": 246, ""b"": 100}","{""r"": 98, ""g"": 19, ""b"": 11}"
171.95,52.99,Female,Underweight,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 225, ""g"": 88, ""b"": 59}","{""r"": 61, ""g"": 194, ""b"": 89}"
177.35,65.15,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 17, ""g"": 137, ""b"": 56}","{""r"": 68, ""g"": 41, ""b"": 90}"
175.48,61.2,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 184, ""g"": 175, ""b"": 244}","{""r"": 5, ""g"": 229, ""b"": 129}"
177.58,66.69,Male,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 51, ""g"": 38, ""b"": 21}","{""r"": 167, ""g"": 115, ""b"": 132}"
171.02,57.3,Female,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 237, ""g"": 232, ""b"": 206}","{""r"": 161, ""g"": 26, ""b"": 208}"
178.48,56.92,Female,Underweight,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 184, ""g"": 165, ""b"": 14}","{""r"": 73, ""g"": 243, ""b"": 178}"
175.52,52.48,Female,Underweight,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 2, ""g"": 65, ""b"": 192}","{""r"": 54, ""g"": 214, ""b"": 45}"
166.07,56.01,Female,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 24, ""g"": 31, ""b"": 99}","{""r"": 11, ""g"": 76, ""b"": 66}"
178.27,67.08,Male,Ideal,"{""r"": 253, ""g"": 220, ""b"": 213}","{""r"": 81, ""g"": 130, ""b"": 198}","{""r"": 202, ""g"": 233, ""b"": 126}"
178.83,70.71,Male,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 207, ""g"": 30, ""b"": 87}","{""r"": 85, ""g"": 113, ""b"": 53}"
169.02,58.09,Male,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 79, ""g"": 198, ""b"": 71}","{""r"": 204, ""g"": 66, ""b"": 230}"
168.57,54.15,Female,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 25, ""g"": 165, ""b"": 15}","{""r"": 165, ""g"": 13, ""b"": 38}"
171.54,60.7,Male,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 62, ""g"": 36, ""b"": 92}","{""r"": 40, ""g"": 245, ""b"": 52}"
168.92,58.39,Female,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 113, ""g"": 246, ""b"": 19}","{""r"": 1, ""g"": 71, ""b"": 12}"
175.26,62.39,Male,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 174, ""g"": 47, ""b"": 214}","{""r"": 243, ""g"": 157, ""b"": 146}"
173.49,58.86,Male,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 207, ""g"": 111, ""b"": 42}","{""r"": 135, ""g"": 178, ""b"": 191}"
170.21,58.43,Male,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 248, ""g"": 118, ""b"": 87}","{""r"": 208, ""g"": 169, ""b"": 106}"
179.85,61.38,Male,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 71, ""g"": 51, ""b"": 7}","{""r"": 212, ""g"": 154, ""b"": 75}"
173.28,49.72,Female,Underweight,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 14, ""g"": 52, ""b"": 60}","{""r"": 17, ""g"": 139, ""b"": 197}"
175.41,64.62,Male,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 42, ""g"": 44, ""b"": 67}","{""r"": 24, ""g"": 217, ""b"": 151}"
172.04,60.21,Male,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 18, ""g"": 115, ""b"": 242}","{""r"": 31, ""g"": 66, ""b"": 52}"
170.73,46.96,Female,Underweight,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 208, ""g"": 25, ""b"": 104}","{""r"": 216, ""g"": 137, ""b"": 83}"
171.11,56.58,Female,Ideal,"{""r"": 235, ""g"": 185, ""b"": 152}","{""r"": 249, ""g"": 51, ""b"": 7}","{""r"": 145, ""g"": 204, ""b"": 58}"
165.79,58.66,Female,Ideal,"{""r"": 253, ""g"": 220, ""b"": 213}","{""r"": 137, ""g"": 246, ""b"": 28}","{""r"": 149, ""g"": 240, ""b"": 50}"
179.94,60.79,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 193, ""g"": 26, ""b"": 177}","{""r"": 125, ""g"": 149, ""b"": 0}"
177.61,63.68,Male,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 18, ""g"": 216, ""b"": 109}","{""r"": 200, ""g"": 191, ""b"": 84}"
163.28,46.65,Female,Underweight,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 178, ""g"": 129, ""b"": 34}","{""r"": 43, ""g"": 230, ""b"": 79}"
173.34,58.3,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 91, ""g"": 226, ""b"": 65}","{""r"": 91, ""g"": 97, ""b"": 241}"
168.55,54.57,Female,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 10, ""g"": 87, ""b"": 122}","{""r"": 197, ""g"": 88, ""b"": 1}"
173.64,62.87,Male,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 223, ""g"": 169, ""b"": 30}","{""r"": 175, ""g"": 17, ""b"": 48}"
166.31,60.31,Female,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 158, ""g"": 240, ""b"": 247}","{""r"": 162, ""g"": 132, ""b"": 176}"
177.09,52.45,Female,Underweight,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 219, ""g"": 101, ""b"": 35}","{""r"": 233, ""g"": 17, ""b"": 42}"
172.02,55.58,Female,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 22, ""g"": 55, ""b"": 59}","{""r"": 62, ""g"": 247, ""b"": 145}"
174.34,61.07,Male,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 145, ""g"": 202, ""b"": 214}","{""r"": 91, ""g"": 15, ""b"": 89}"
169.63,55.29,Female,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 153, ""g"": 215, ""b"": 86}","{""r"": 181, ""g"": 108, ""b"": 138}"
177.93,70.48,Male,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 236, ""g"": 213, ""b"": 179}","{""r"": 138, ""g"": 198, ""b"": 220}"
168.35,58.49,Female,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 152, ""g"": 166, ""b"": 191}","{""r"": 199, ""g"": 222, ""b"": 39}"
175.77,58.56,Male,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 185, ""g"": 172, ""b"": 10}","{""r"": 255, ""g"": 133, ""b"": 79}"
175.6,63.26,Male,Ideal,"{""r"": 235, ""g"": 185, ""b"": 152}","{""r"": 165, ""g"": 16, ""b"": 223}","{""r"": 248, ""g"": 18, ""b"": 247}"
171.11,63.91,Male,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 18, ""g"": 220, ""b"": 207}","{""r"": 138, ""g"": 86, ""b"": 243}"
178.04,59.69,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 98, ""g"": 115, ""b"": 4}","{""r"": 46, ""g"": 187, ""b"": 112}"
178.25,54.94,Female,Underweight,"{""r"": 235, ""g"": 185, ""b"": 152}","{""r"": 28, ""g"": 11, ""b"": 112}","{""r"": 55, ""g"": 139, ""b"": 183}"
173.29,59.65,Male,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 218, ""g"": 228, ""b"": 227}","{""r"": 20, ""g"": 6, ""b"": 152}"
173.05,61.94,Male,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 7, ""g"": 149, ""b"": 86}","{""r"": 87, ""g"": 61, ""b"": 158}"
178.42,64.18,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 87, ""g"": 246, ""b"": 33}","{""r"": 29, ""g"": 116, ""b"": 69}"
181.58,63.78,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 89, ""g"": 6, ""b"": 82}","{""r"": 46, ""g"": 73, ""b"": 45}"
175.78,50.87,Female,Underweight,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 247, ""g"": 225, ""b"": 79}","{""r"": 1, ""g"": 44, ""b"": 253}"
177.96,60.54,Male,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 6, ""g"": 186, ""b"": 88}","{""r"": 8, ""g"": 216, ""b"": 224}"
179.21,59.78,Male,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 144, ""g"": 23, ""b"": 232}","{""r"": 88, ""g"": 143, ""b"": 132}"
168.37,54.44,Female,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 3, ""g"": 174, ""b"": 191}","{""r"": 240, ""g"": 204, ""b"": 6}"
161.1,55.84,Female,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 14, ""g"": 180, ""b"": 194}","{""r"": 254, ""g"": 28, ""b"": 29}"
169.59,58.12,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 252, ""g"": 144, ""b"": 55}","{""r"": 89, ""g"": 148, ""b"": 10}"
174.97,52.38,Female,Underweight,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 115, ""g"": 173, ""b"": 21}","{""r"": 101, ""g"": 61, ""b"": 121}"
164.78,46.31,Female,Underweight,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 254, ""g"": 117, ""b"": 144}","{""r"": 17, ""g"": 23, ""b"": 193}"
170.42,59.13,Male,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 56, ""g"": 186, ""b"": 44}","{""r"": 32, ""g"": 51, ""b"": 120}"
173.6,60.86,Male,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 113, ""g"": 65, ""b"": 246}","{""r"": 117, ""g"": 70, ""b"": 217}"
166.65,44.74,Female,Underweight,"{""r"": 235, ""g"": 185, ""b"": 152}","{""r"": 203, ""g"": 190, ""b"": 247}","{""r"": 90, ""g"": 78, ""b"": 134}"
172.1,51.96,Female,Underweight,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 230, ""g"": 15, ""b"": 55}","{""r"": 245, ""g"": 224, ""b"": 163}"
172.77,56.01,Female,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 220, ""g"": 164, ""b"": 139}","{""r"": 46, ""g"": 135, ""b"": 113}"
171.86,55.81,Female,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 25, ""g"": 68, ""b"": 111}","{""r"": 105, ""g"": 255, ""b"": 207}"
168.44,57.37,Female,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 148, ""g"": 209, ""b"": 104}","{""r"": 130, ""g"": 90, ""b"": 152}"
176.37,58.25,Male,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 221, ""g"": 113, ""b"": 251}","{""r"": 133, ""g"": 135, ""b"": 35}"
162.14,57.69,Female,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 215, ""g"": 215, ""b"": 67}","{""r"": 105, ""g"": 34, ""b"": 134}"
172.02,55.36,Female,Ideal,"{""r"": 253, ""g"": 220, ""b"": 213}","{""r"": 222, ""g"": 103, ""b"": 30}","{""r"": 245, ""g"": 108, ""b"": 164}"
177.93,57.88,Female,Underweight,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 68, ""g"": 241, ""b"": 50}","{""r"": 219, ""g"": 253, ""b"": 11}"
178.27,59.71,Male,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 153, ""g"": 42, ""b"": 120}","{""r"": 177, ""g"": 199, ""b"": 245}"
167.5,50.75,Female,Underweight,"{""r"": 235, ""g"": 185, ""b"": 152}","{""r"": 95, ""g"": 90, ""b"": 23}","{""r"": 171, ""g"": 33, ""b"": 220}"
177.82,55.36,Female,Underweight,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 122, ""g"": 109, ""b"": 187}","{""r"": 245, ""g"": 76, ""b"": 94}"
174.27,58.31,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 38, ""g"": 223, ""b"": 202}","{""r"": 253, ""g"": 100, ""b"": 204}"
174.77,60.18,Male,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 221, ""g"": 26, ""b"": 77}","{""r"": 200, ""g"": 11, ""b"": 58}"
177.2,61.72,Male,Ideal,"{""r"": 253, ""g"": 220, ""b"": 213}","{""r"": 174, ""g"": 40, ""b"": 109}","{""r"": 88, ""g"": 225, ""b"": 31}"
166.26,52.59,Female,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 26, ""g"": 212, ""b"": 30}","{""r"": 197, ""g"": 45, ""b"": 192}"
174.82,62.1,Male,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 166, ""g"": 51, ""b"": 6}","{""r"": 169, ""g"": 53, ""b"": 70}"
167.13,54.38,Female,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 81, ""g"": 61, ""b"": 171}","{""r"": 224, ""g"": 1, ""b"": 123}"
170.73,49.44,Female,Underweight,"{""r"": 253, ""g"": 220, ""b"": 213}","{""r"": 23, ""g"": 61, ""b"": 193}","{""r"": 78, ""g"": 83, ""b"": 179}"
176.33,58.18,Male,Ideal,"{""r"": 252, ""g"": 218, ""b"": 191}","{""r"": 58, ""g"": 128, ""b"": 148}","{""r"": 126, ""g"": 86, ""b"": 38}"
175.12,61.37,Male,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 119, ""g"": 197, ""b"": 198}","{""r"": 148, ""g"": 210, ""b"": 90}"
172.57,48.47,Female,Underweight,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 61, ""g"": 170, ""b"": 219}","{""r"": 26, ""g"": 198, ""b"": 165}"
166.69,55.93,Female,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 3, ""g"": 79, ""b"": 1}","{""r"": 105, ""g"": 158, ""b"": 37}"
168.9,49.67,Female,Underweight,"{""r"": 253, ""g"": 220, ""b"": 213}","{""r"": 76, ""g"": 115, ""b"": 93}","{""r"": 146, ""g"": 99, ""b"": 190}"
172.54,54.12,Female,Underweight,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 0, ""g"": 182, ""b"": 0}","{""r"": 76, ""g"": 213, ""b"": 25}"
174.99,63.61,Male,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 11, ""g"": 18, ""b"": 215}","{""r"": 238, ""g"": 54, ""b"": 76}"
178.41,60.77,Male,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 141, ""g"": 35, ""b"": 211}","{""r"": 179, ""g"": 227, ""b"": 76}"
173.4,60.14,Male,Ideal,"{""r"": 253, ""g"": 220, ""b"": 213}","{""r"": 0, ""g"": 144, ""b"": 189}","{""r"": 27, ""g"": 62, ""b"": 126}"
180.93,59.28,Male,Underweight,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 145, ""g"": 199, ""b"": 154}","{""r"": 79, ""g"": 7, ""b"": 85}"
175.51,52.42,Female,Underweight,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 201, ""g"": 42, ""b"": 37}","{""r"": 121, ""g"": 181, ""b"": 133}"
163.57,56.15,Female,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 184, ""g"": 78, ""b"": 75}","{""r"": 127, ""g"": 155, ""b"": 208}"
180.58,58.12,Male,Underweight,"{""r"": 235, ""g"": 185, ""b"": 152}","{""r"": 92, ""g"": 171, ""b"": 75}","{""r"": 96, ""g"": 19, ""b"": 186}"
173.28,61.67,Male,Ideal,"{""r"": 235, ""g"": 185, ""b"": 152}","{""r"": 231, ""g"": 235, ""b"": 156}","{""r"": 226, ""g"": 198, ""b"": 49}"
167.43,52.9,Female,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 95, ""g"": 201, ""b"": 207}","{""r"": 214, ""g"": 45, ""b"": 223}"
171.29,57.53,Female,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 4, ""g"": 58, ""b"": 11}","{""r"": 184, ""g"": 6, ""b"": 78}"
187.71,68.67,Male,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 156, ""g"": 93, ""b"": 206}","{""r"": 216, ""g"": 95, ""b"": 11}"
177.75,59.15,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 74, ""g"": 83, ""b"": 86}","{""r"": 174, ""g"": 185, ""b"": 112}"
176.58,61.78,Male,Ideal,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 115, ""g"": 237, ""b"": 249}","{""r"": 37, ""g"": 199, ""b"": 11}"
165.57,51.44,Female,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 184, ""g"": 176, ""b"": 79}","{""r"": 133, ""g"": 152, ""b"": 0}"
172.74,56.85,Female,Ideal,"{""r"": 243, ""g"": 214, ""b"": 200}","{""r"": 192, ""g"": 225, ""b"": 21}","{""r"": 112, ""g"": 0, ""b"": 99}"
173.58,57.87,Female,Ideal,"{""r"": 226, ""g"": 165, ""b"": 137}","{""r"": 202, ""g"": 89, ""b"": 211}","{""r"": 168, ""g"": 212, ""b"": 42}"
165.57,48.61,Female,Underweight,"{""r"": 253, ""g"": 220, ""b"": 213}","{""r"": 205, ""g"": 47, ""b"": 128}","{""r"": 23, ""g"": 148, ""b"": 123}"
173.39,52.82,Female,Underweight,"{""r"": 246, ""g"": 215, ""b"": 197}","{""r"": 74, ""g"": 118, ""b"": 118}","{""r"": 39, ""g"": 125, ""b"": 43}"
174.16,60.71,Male,Ideal,"{""r"": 204, ""g"": 150, ""b"": 103}","{""r"": 29, ""g"": 185, ""b"": 135}","{""r"": 25, ""g"": 196, ""b"": 167}"
163.82,51.21,Female,Ideal,"{""r"": 127, ""g"": 41, ""b"": 44}","{""r"": 171, ""g"": 218, ""b"": 36}","{""r"": 32, ""g"": 111, ""b"": 206}"
174.52,59.31,Male,Ideal,"{""r"": 119, ""g"": 78, ""b"": 58}","{""r"": 45, ""g"": 238, ""b"": 24}","{""r"": 153, ""g"": 32, ""b"": 200}"
